order_id,order_date,ship_date,ship_mode
CA-2019-149223,2019-09-06,2019-09-11,Standard Class
CA-2019-158568,2019-08-29,2019-09-02,Standard Class
CA-2019-129903,2019-12-01,2019-12-04,Second Class
US-2018-156867,2018-11-13,2018-11-17,Standard Class
CA-2020-119004,2020-11-23,2020-11-28,Standard Class
CA-2018-129476,2018-10-15,2018-10-20,Standard Class
CA-2020-146780,2020-12-25,2020-12-30,Standard Class
CA-2019-128867,2019-11-03,2019-11-10,Standard Class
CA-2017-115259,2017-08-25,2017-08-27,Second Class
CA-2018-110457,2018-03-02,2018-03-06,Standard Class
US-2018-136476,2018-04-05,2018-04-10,Standard Class
CA-2019-103730,2019-06-12,2019-06-15,First Class
US-2017-152030,2017-12-26,2017-12-28,Second Class
US-2017-134614,2017-09-20,2017-09-25,Standard Class
US-2020-107272,2020-11-05,2020-11-12,Standard Class
US-2019-125969,2019-11-06,2019-11-10,Second Class
US-2020-164147,2020-02-02,2020-02-05,First Class
CA-2019-145583,2019-10-13,2019-10-19,Standard Class
CA-2019-110366,2019-09-05,2019-09-07,Second Class
CA-2020-106180,2020-09-18,2020-09-23,Standard Class
CA-2020-155376,2020-12-22,2020-12-27,Standard Class
CA-2018-110744,2018-09-07,2018-09-12,Standard Class
CA-2017-110072,2017-10-22,2017-10-28,Standard Class
CA-2019-114489,2019-12-05,2019-12-09,Standard Class
CA-2019-158834,2019-03-13,2019-03-16,First Class
CA-2018-124919,2018-05-31,2018-06-02,First Class
CA-2018-118948,2018-05-28,2018-06-03,Standard Class
CA-2017-104269,2017-03-01,2017-03-06,Second Class
CA-2019-114104,2019-11-20,2019-11-24,Standard Class
CA-2019-162733,2019-05-11,2019-05-12,First Class
CA-2018-119697,2018-12-28,2018-12-31,Second Class
CA-2019-154508,2019-11-16,2019-11-20,Standard Class
CA-2019-113817,2019-11-07,2019-11-11,Standard Class
CA-2017-139892,2017-09-08,2017-09-12,Standard Class
CA-2017-118962,2017-08-05,2017-08-09,Standard Class
US-2017-100853,2017-09-14,2017-09-19,Standard Class
US-2020-152366,2020-04-21,2020-04-25,Second Class
US-2018-101511,2018-11-21,2018-11-23,Second Class
CA-2018-137225,2018-12-15,2018-12-19,Standard Class
CA-2017-166191,2017-12-05,2017-12-09,Second Class
CA-2017-158274,2017-11-19,2017-11-24,Second Class
CA-2019-105018,2019-11-28,2019-12-02,Standard Class
CA-2017-123260,2017-08-26,2017-08-30,Standard Class
CA-2019-157000,2019-07-16,2019-07-22,Standard Class
CA-2018-102281,2018-10-12,2018-10-14,First Class
CA-2018-131457,2018-10-31,2018-11-06,Standard Class
CA-2017-140004,2017-03-21,2017-03-25,Standard Class
CA-2020-107720,2020-11-06,2020-11-13,Standard Class
US-2020-124303,2020-07-06,2020-07-13,Standard Class
CA-2020-105074,2020-06-24,2020-06-29,Standard Class
CA-2017-133690,2017-08-03,2017-08-05,First Class
US-2020-116701,2020-12-17,2020-12-21,Second Class
CA-2020-126382,2020-06-03,2020-06-07,Standard Class
CA-2020-108329,2020-12-09,2020-12-14,Standard Class
CA-2020-135860,2020-12-01,2020-12-07,Standard Class
CA-2018-101007,2018-02-09,2018-02-13,Second Class
CA-2018-146262,2018-01-02,2018-01-09,Standard Class
CA-2019-130162,2019-10-28,2019-11-01,Standard Class
CA-2018-169397,2018-12-24,2018-12-27,First Class
CA-2018-163055,2018-08-09,2018-08-16,Standard Class
US-2018-145436,2018-02-28,2018-03-04,Standard Class
US-2017-156216,2017-09-13,2017-09-17,Standard Class
US-2020-100930,2020-04-07,2020-04-12,Standard Class
CA-2020-160514,2020-11-12,2020-11-16,Standard Class
CA-2019-157749,2019-06-04,2019-06-09,Second Class
CA-2017-131926,2017-06-01,2017-06-06,Second Class
CA-2019-154739,2019-12-10,2019-12-15,Second Class
CA-2019-145625,2019-09-11,2019-09-17,Standard Class
CA-2019-146941,2019-12-10,2019-12-13,First Class
US-2018-159982,2018-11-28,2018-12-04,Standard Class
CA-2020-163139,2020-12-01,2020-12-03,Second Class
US-2020-155299,2020-06-08,2020-06-12,Standard Class
US-2017-106992,2017-09-19,2017-09-21,Second Class
CA-2019-125318,2019-06-06,2019-06-13,Standard Class
CA-2018-155040,2018-11-10,2018-11-15,Standard Class
CA-2020-136826,2020-06-16,2020-06-20,Standard Class
CA-2019-111010,2019-01-22,2019-01-28,Standard Class
US-2020-145366,2020-12-09,2020-12-13,Standard Class
CA-2020-163979,2020-12-28,2021-01-02,Second Class
CA-2018-155334,2018-07-30,2018-07-31,First Class
CA-2020-118136,2020-09-16,2020-09-17,First Class
CA-2020-132976,2020-10-13,2020-10-17,Standard Class
US-2018-161991,2018-09-26,2018-09-28,Second Class
CA-2018-130890,2018-11-02,2018-11-06,Standard Class
CA-2018-130883,2018-09-26,2018-10-02,Standard Class
CA-2019-112697,2019-12-18,2019-12-20,Second Class
CA-2019-110772,2019-11-20,2019-11-24,Second Class
CA-2017-111451,2017-12-26,2017-12-28,First Class
CA-2019-142545,2019-10-28,2019-11-03,Standard Class
US-2020-152380,2020-11-19,2020-11-23,Standard Class
CA-2018-144253,2018-05-04,2018-05-09,Second Class
CA-2017-130960,2017-12-30,2018-01-04,Standard Class
CA-2017-111003,2017-06-01,2017-06-06,Standard Class
CA-2020-126774,2020-04-15,2020-04-17,First Class
CA-2019-142902,2019-09-12,2019-09-14,Second Class
CA-2017-120887,2017-09-27,2017-10-03,Standard Class
CA-2017-167850,2017-08-09,2017-08-16,Standard Class
CA-2017-164259,2017-12-28,2017-12-30,First Class
CA-2017-164973,2017-11-04,2017-11-09,Standard Class
CA-2017-156601,2017-09-19,2017-09-24,Standard Class
CA-2019-162138,2019-04-23,2019-04-27,Standard Class
CA-2020-153339,2020-11-03,2020-11-05,Second Class
US-2019-141544,2019-08-30,2019-09-01,First Class
US-2019-150147,2019-04-25,2019-04-29,Second Class
CA-2018-137946,2018-09-01,2018-09-04,Second Class
CA-2017-129924,2017-07-12,2017-07-17,Standard Class
CA-2018-128167,2018-06-22,2018-06-26,Second Class
CA-2017-122336,2017-04-13,2017-04-17,Second Class
US-2018-120712,2018-12-20,2018-12-24,Standard Class
CA-2020-169901,2020-06-15,2020-06-19,Standard Class
CA-2020-134306,2020-07-08,2020-07-12,Standard Class
CA-2019-129714,2019-09-01,2019-09-03,First Class
CA-2019-138520,2019-04-08,2019-04-13,Standard Class
CA-2019-130001,2019-04-23,2019-04-28,Standard Class
CA-2020-155698,2020-03-08,2020-03-11,First Class
CA-2020-144904,2020-09-25,2020-10-01,Standard Class
CA-2017-123344,2017-09-24,2017-09-29,Standard Class
CA-2019-155516,2019-10-21,2019-10-21,Same Day
CA-2020-104745,2020-05-29,2020-06-04,Standard Class
US-2017-119137,2017-07-23,2017-07-27,Standard Class
US-2019-134656,2019-09-28,2019-10-01,First Class
US-2020-134481,2020-08-27,2020-09-01,Standard Class
CA-2018-130792,2018-04-28,2018-05-05,Standard Class
CA-2019-134775,2019-10-28,2019-10-29,First Class
CA-2018-125395,2018-06-26,2018-06-29,Second Class
US-2018-168935,2018-11-27,2018-12-02,Standard Class
CA-2018-122756,2018-12-03,2018-12-07,Standard Class
CA-2017-115973,2017-11-24,2017-11-26,First Class
CA-2020-101798,2020-12-11,2020-12-15,Standard Class
US-2017-135972,2017-09-21,2017-09-23,Second Class
US-2017-134971,2017-06-07,2017-06-10,Second Class
CA-2020-102946,2020-06-30,2020-07-05,Standard Class
CA-2020-165603,2020-10-17,2020-10-19,Second Class
CA-2018-122259,2018-10-31,2018-11-04,Standard Class
CA-2019-108987,2019-09-08,2019-09-10,Second Class
CA-2017-113166,2017-12-24,2017-12-26,First Class
CA-2017-155208,2017-04-16,2017-04-20,Standard Class
CA-2020-117933,2020-12-24,2020-12-29,Standard Class
CA-2020-117457,2020-12-08,2020-12-12,Standard Class
CA-2020-142636,2020-11-03,2020-11-07,Standard Class
CA-2020-122105,2020-06-24,2020-06-28,Standard Class
CA-2019-148796,2019-04-14,2019-04-18,Standard Class
CA-2020-154816,2020-11-06,2020-11-10,Standard Class
CA-2020-110478,2020-03-04,2020-03-09,Standard Class
CA-2017-142048,2017-06-22,2017-06-25,First Class
CA-2020-125388,2020-10-19,2020-10-23,Standard Class
CA-2020-155705,2020-08-21,2020-08-23,Second Class
CA-2020-149160,2020-11-23,2020-11-26,Second Class
CA-2017-101476,2017-09-12,2017-09-13,First Class
CA-2020-152275,2020-10-01,2020-10-08,Standard Class
US-2019-123750,2019-04-15,2019-04-21,Standard Class
CA-2019-127369,2019-06-06,2019-06-07,First Class
US-2017-150574,2017-12-19,2017-12-25,Standard Class
CA-2019-147375,2019-06-12,2019-06-14,Second Class
CA-2020-130043,2020-09-15,2020-09-19,Standard Class
CA-2020-157252,2020-01-20,2020-01-23,Second Class
CA-2019-115756,2019-09-05,2019-09-07,Second Class
CA-2020-154214,2020-03-20,2020-03-25,Second Class
CA-2019-166674,2019-04-01,2019-04-03,Second Class
CA-2020-147277,2020-10-20,2020-10-24,Standard Class
CA-2019-100153,2019-12-13,2019-12-17,Standard Class
US-2017-110674,2017-02-12,2017-02-18,Standard Class
US-2019-157945,2019-09-26,2019-10-01,Standard Class
CA-2018-109638,2018-12-15,2018-12-22,Standard Class
CA-2019-109869,2019-04-22,2019-04-29,Standard Class
US-2018-101399,2018-01-17,2018-01-24,Standard Class
CA-2020-154907,2020-03-31,2020-04-04,Standard Class
US-2019-100419,2019-12-16,2019-12-20,Second Class
CA-2018-154144,2018-12-20,2018-12-24,Standard Class
CA-2017-144666,2017-11-09,2017-11-11,Second Class
CA-2019-103891,2019-07-12,2019-07-19,Standard Class
CA-2019-152632,2019-10-27,2019-11-02,Standard Class
CA-2019-100790,2019-06-26,2019-07-02,Standard Class
CA-2017-134677,2017-10-06,2017-10-10,Standard Class
CA-2017-127691,2017-07-22,2017-07-27,Standard Class
CA-2020-140963,2020-06-10,2020-06-13,First Class
CA-2017-154627,2017-10-29,2017-10-31,First Class
CA-2017-133753,2017-06-09,2017-06-13,Second Class
CA-2017-113362,2017-09-14,2017-09-19,Standard Class
CA-2019-169166,2019-05-09,2019-05-14,Standard Class
US-2019-120929,2019-03-18,2019-03-21,Second Class
CA-2018-134782,2018-12-27,2018-12-31,Standard Class
CA-2019-126158,2019-07-25,2019-07-31,Standard Class
US-2019-105578,2019-05-30,2019-06-04,Standard Class
CA-2020-134978,2020-11-12,2020-11-15,Second Class
CA-2018-145352,2018-03-16,2018-03-22,Standard Class
CA-2020-135307,2020-11-26,2020-11-27,First Class
CA-2019-106341,2019-10-20,2019-10-23,First Class
CA-2020-163405,2020-12-21,2020-12-25,Standard Class
CA-2020-127432,2020-01-22,2020-01-27,Standard Class
CA-2018-157812,2018-03-22,2018-03-26,Standard Class
CA-2020-145142,2020-01-23,2020-01-25,First Class
US-2019-139486,2019-05-21,2019-05-23,First Class
CA-2018-158792,2018-12-26,2019-01-02,Standard Class
CA-2020-113558,2020-10-21,2020-10-26,Standard Class
US-2018-138303,2018-09-03,2018-09-07,Standard Class
CA-2018-102848,2018-11-07,2018-11-09,Second Class
US-2020-129441,2020-09-07,2020-09-11,Standard Class
CA-2019-168753,2019-05-29,2019-06-01,Second Class
CA-2019-126613,2019-07-10,2019-07-16,Standard Class
US-2020-122637,2020-09-03,2020-09-08,Second Class
CA-2018-147851,2018-12-03,2018-12-08,Standard Class
CA-2018-134894,2018-12-07,2018-12-11,Standard Class
CA-2017-140795,2017-02-01,2017-02-03,First Class
CA-2019-136924,2019-07-14,2019-07-17,First Class
US-2018-120161,2018-12-18,2018-12-23,Standard Class
CA-2017-103849,2017-05-11,2017-05-16,Standard Class
CA-2020-162929,2020-11-19,2020-11-22,First Class
CA-2018-113173,2018-11-15,2018-11-17,Second Class
CA-2019-136406,2019-04-15,2019-04-17,Second Class
CA-2020-112774,2020-09-11,2020-09-12,First Class
CA-2020-101945,2020-11-24,2020-11-28,Standard Class
CA-2020-100650,2020-06-29,2020-07-03,Second Class
CA-2017-155852,2017-03-03,2017-03-07,Second Class
CA-2019-113243,2019-06-10,2019-06-15,Standard Class
CA-2020-118731,2020-11-20,2020-11-22,Second Class
CA-2017-145576,2017-09-14,2017-09-18,Second Class
CA-2018-130736,2018-12-07,2018-12-09,First Class
CA-2020-137099,2020-12-07,2020-12-10,First Class
CA-2020-156951,2020-10-01,2020-10-08,Standard Class
CA-2020-164826,2020-12-28,2021-01-04,Standard Class
CA-2019-127250,2019-11-03,2019-11-07,Standard Class
CA-2018-149713,2018-09-18,2018-09-22,Second Class
CA-2020-118640,2020-07-20,2020-07-26,Standard Class
CA-2018-132906,2018-09-10,2018-09-14,Standard Class
CA-2020-145233,2020-12-01,2020-12-05,Standard Class
CA-2018-128139,2018-07-03,2018-07-09,Standard Class
US-2019-156986,2019-03-20,2019-03-24,Standard Class
CA-2017-135405,2017-01-09,2017-01-13,Standard Class
CA-2017-131450,2017-08-08,2017-08-15,Standard Class
CA-2019-120180,2019-07-14,2019-07-16,First Class
US-2019-100720,2019-07-16,2019-07-21,Standard Class
CA-2017-149958,2017-03-15,2017-03-19,Standard Class
US-2017-105767,2017-05-23,2017-05-27,Standard Class
CA-2019-161816,2019-04-28,2019-05-01,First Class
CA-2019-121223,2019-09-11,2019-09-13,Second Class
CA-2020-138611,2020-11-14,2020-11-17,Second Class
CA-2020-117947,2020-08-18,2020-08-23,Second Class
US-2017-111171,2017-12-26,2017-12-31,Standard Class
CA-2018-138009,2018-11-29,2018-12-03,Standard Class
CA-2020-163020,2020-09-15,2020-09-19,Standard Class
CA-2020-153787,2020-05-19,2020-05-23,Standard Class
CA-2020-133431,2020-12-17,2020-12-21,Standard Class
US-2019-135720,2019-12-11,2019-12-13,Second Class
CA-2020-144694,2020-09-24,2020-09-26,Second Class
CA-2018-168004,2018-10-04,2018-10-09,Second Class
US-2019-123470,2019-08-15,2019-08-21,Standard Class
CA-2019-115917,2019-05-20,2019-05-25,Standard Class
CA-2019-147067,2019-12-18,2019-12-22,Standard Class
CA-2020-167913,2020-07-30,2020-08-03,Second Class
CA-2020-106103,2020-06-10,2020-06-15,Standard Class
US-2020-127719,2020-07-21,2020-07-25,Standard Class
CA-2020-126221,2020-12-30,2021-01-05,Standard Class
CA-2019-103947,2019-04-01,2019-04-08,Standard Class
CA-2019-160745,2019-12-11,2019-12-16,Second Class
CA-2019-132661,2019-10-23,2019-10-29,Standard Class
CA-2020-140844,2020-06-19,2020-06-23,Standard Class
CA-2019-137239,2019-08-22,2019-08-28,Standard Class
US-2019-156097,2019-09-19,2019-09-19,Same Day
CA-2018-146563,2018-08-24,2018-08-28,Standard Class
CA-2019-123666,2019-03-26,2019-03-30,Standard Class
CA-2019-143308,2019-11-04,2019-11-04,Same Day
CA-2020-132682,2020-06-08,2020-06-10,Second Class
CA-2017-156314,2017-12-24,2017-12-26,First Class
US-2020-106663,2020-06-09,2020-06-13,Standard Class
CA-2020-111178,2020-06-15,2020-06-22,Standard Class
CA-2020-130351,2020-12-05,2020-12-08,First Class
US-2020-119438,2020-03-18,2020-03-23,Standard Class
CA-2019-164511,2019-11-19,2019-11-24,Standard Class
US-2020-168116,2020-11-04,2020-11-04,Same Day
CA-2017-157784,2017-07-05,2017-07-08,First Class
CA-2020-161480,2020-12-25,2020-12-29,Standard Class
US-2017-117135,2017-06-21,2017-06-23,Second Class
CA-2018-131534,2018-03-28,2018-04-02,Standard Class
CA-2018-119291,2018-05-14,2018-05-17,First Class
CA-2020-114552,2020-09-02,2020-09-08,Standard Class
CA-2019-163755,2019-11-04,2019-11-08,Second Class
CA-2018-142027,2018-04-09,2018-04-14,Standard Class
CA-2017-138527,2017-09-12,2017-09-17,Standard Class
CA-2017-112158,2017-12-02,2017-12-04,First Class
CA-2017-113887,2017-04-05,2017-04-07,First Class
CA-2020-146136,2020-09-03,2020-09-07,Standard Class
US-2020-100048,2020-05-19,2020-05-24,Standard Class
CA-2017-153150,2017-07-01,2017-07-06,Second Class
CA-2017-130092,2017-01-11,2017-01-14,First Class
CA-2020-108910,2020-09-24,2020-09-29,Standard Class
CA-2017-104472,2017-06-02,2017-06-07,Standard Class
CA-2019-112942,2019-02-13,2019-02-18,Standard Class
CA-2019-142335,2019-12-15,2019-12-19,Standard Class
CA-2017-117429,2017-10-07,2017-10-13,Standard Class
CA-2019-114713,2019-07-07,2019-07-12,Standard Class
CA-2020-144113,2020-09-16,2020-09-20,Standard Class
US-2019-150861,2019-12-03,2019-12-06,First Class
CA-2020-131954,2020-01-21,2020-01-25,Standard Class
CA-2017-132500,2017-09-08,2017-09-12,Standard Class
CA-2017-112326,2017-01-04,2017-01-08,Standard Class
US-2019-146710,2019-08-27,2019-09-01,Standard Class
CA-2017-124429,2017-05-27,2017-05-27,Same Day
CA-2019-150889,2019-03-20,2019-03-22,Second Class
CA-2020-126074,2020-10-02,2020-10-06,Standard Class
CA-2019-110499,2019-04-07,2019-04-09,First Class
CA-2018-135272,2018-12-07,2018-12-12,Standard Class
CA-2019-140928,2019-09-18,2019-09-22,Standard Class
CA-2017-106803,2017-12-29,2018-01-02,Standard Class
CA-2020-117240,2020-07-23,2020-07-28,Standard Class
CA-2020-133333,2020-09-18,2020-09-22,Standard Class
CA-2018-112319,2018-08-31,2018-09-05,Standard Class
CA-2020-126046,2020-11-03,2020-11-07,Standard Class
CA-2018-114923,2018-02-08,2018-02-13,Standard Class
CA-2017-162775,2017-01-13,2017-01-15,Second Class
CA-2017-106810,2017-05-14,2017-05-20,Standard Class
CA-2019-157245,2019-05-19,2019-05-24,Standard Class
CA-2020-104220,2020-01-30,2020-02-05,Standard Class
CA-2017-165974,2017-06-29,2017-07-06,Standard Class
CA-2018-144267,2018-08-21,2018-08-23,First Class
US-2018-157014,2018-10-03,2018-10-06,Second Class
CA-2018-154921,2018-05-23,2018-05-28,Standard Class
CA-2020-129567,2020-03-17,2020-03-21,Second Class
CA-2018-154620,2018-12-12,2018-12-16,Standard Class
CA-2018-115938,2018-06-26,2018-06-30,Standard Class
CA-2019-105256,2019-05-20,2019-05-20,Same Day
CA-2017-156433,2017-09-20,2017-09-26,Standard Class
CA-2020-151428,2020-09-21,2020-09-26,Standard Class
CA-2018-124653,2018-12-24,2018-12-26,First Class
CA-2018-101910,2018-11-27,2018-12-03,Standard Class
CA-2020-105809,2020-02-20,2020-02-23,First Class
CA-2019-136133,2019-08-18,2019-08-23,Second Class
CA-2019-115504,2019-03-12,2019-03-17,Standard Class
CA-2020-135783,2020-04-22,2020-04-24,First Class
CA-2017-134313,2017-11-01,2017-11-07,Standard Class
CA-2018-140921,2018-02-03,2018-02-05,First Class
CA-2017-151995,2017-10-13,2017-10-15,First Class
CA-2020-143686,2020-05-14,2020-05-14,Same Day
CA-2018-106565,2018-03-20,2018-03-23,First Class
CA-2019-149370,2019-09-15,2019-09-19,Standard Class
CA-2017-140858,2017-06-28,2017-07-02,Standard Class
CA-2020-101434,2020-06-20,2020-06-27,Standard Class
US-2017-102071,2017-05-09,2017-05-15,Standard Class
CA-2020-126956,2020-08-21,2020-08-28,Standard Class
CA-2020-129462,2020-06-16,2020-06-21,Second Class
CA-2019-165316,2019-07-23,2019-07-27,Standard Class
US-2017-115987,2017-09-08,2017-09-13,Second Class
US-2020-156083,2020-11-04,2020-11-11,Standard Class
US-2019-137547,2019-03-07,2019-03-12,Standard Class
CA-2018-100454,2018-11-20,2018-11-25,Standard Class
CA-2019-161669,2019-11-07,2019-11-09,First Class
CA-2018-114300,2018-10-13,2018-10-17,Standard Class
CA-2020-107503,2020-01-01,2020-01-06,Standard Class
CA-2017-107755,2017-02-07,2017-02-12,Standard Class
CA-2019-152534,2019-06-20,2019-06-25,Second Class
CA-2019-113747,2019-05-28,2019-06-04,Standard Class
CA-2019-123274,2019-02-19,2019-02-24,Standard Class
CA-2017-125612,2017-08-03,2017-08-08,Standard Class
CA-2020-161984,2020-04-10,2020-04-15,Standard Class
CA-2017-133851,2017-06-09,2017-06-16,Standard Class
CA-2019-134474,2019-01-05,2019-01-07,Second Class
CA-2017-149020,2017-01-10,2017-01-15,Standard Class
CA-2019-134362,2019-09-29,2019-10-02,First Class
CA-2017-136742,2017-04-06,2017-04-10,Standard Class
CA-2019-158099,2019-09-03,2019-09-05,First Class
CA-2018-131128,2018-10-19,2018-10-20,First Class
CA-2017-148488,2017-12-10,2017-12-15,Standard Class
CA-2020-114636,2020-08-25,2020-08-29,Standard Class
CA-2019-116736,2019-01-17,2019-01-21,Standard Class
US-2017-158638,2017-09-17,2017-09-21,Standard Class
CA-2020-111689,2020-11-30,2020-12-02,Second Class
CA-2018-129098,2018-10-09,2018-10-13,Standard Class
US-2020-123463,2020-12-23,2020-12-23,Same Day
CA-2019-165148,2019-10-22,2019-10-24,First Class
CA-2017-134061,2017-04-29,2017-05-04,Standard Class
CA-2018-143602,2018-04-25,2018-04-28,Second Class
CA-2020-115364,2020-06-26,2020-07-02,Standard Class
CA-2020-150707,2020-10-14,2020-10-19,Standard Class
CA-2017-104976,2017-12-09,2017-12-16,Standard Class
CA-2020-132934,2020-06-20,2020-06-26,Standard Class
CA-2020-133256,2020-06-26,2020-06-27,First Class
CA-2019-105494,2019-11-10,2019-11-12,First Class
CA-2019-140634,2019-10-03,2019-10-06,Second Class
CA-2017-144407,2017-09-09,2017-09-15,Standard Class
CA-2020-160983,2020-10-29,2020-10-31,Second Class
US-2019-114622,2019-04-10,2019-04-12,First Class
CA-2020-150959,2020-11-11,2020-11-13,First Class
CA-2020-132353,2020-09-15,2020-09-17,First Class
CA-2019-130477,2019-04-08,2019-04-12,Standard Class
CA-2020-143259,2020-12-30,2021-01-03,Standard Class
CA-2020-137596,2020-09-02,2020-09-07,Standard Class
CA-2018-133627,2018-05-31,2018-06-07,Standard Class
CA-2020-102519,2020-11-27,2020-11-29,First Class
US-2017-141215,2017-06-15,2017-06-21,Standard Class
CA-2019-165218,2019-03-05,2019-03-11,Standard Class
CA-2017-138296,2017-12-05,2017-12-12,Standard Class
CA-2018-111164,2018-04-11,2018-04-15,Standard Class
CA-2019-149797,2019-09-15,2019-09-20,Standard Class
CA-2017-132962,2017-09-13,2017-09-16,First Class
CA-2018-115091,2018-10-05,2018-10-09,Standard Class
CA-2020-144932,2020-04-14,2020-04-17,First Class
CA-2020-114216,2020-09-02,2020-09-06,Standard Class
CA-2019-140081,2019-06-20,2019-06-24,Standard Class
US-2020-111745,2020-11-05,2020-11-06,First Class
CA-2018-148250,2018-12-13,2018-12-17,Standard Class
CA-2019-105760,2019-06-19,2019-06-20,First Class
CA-2019-142958,2019-12-13,2019-12-20,Standard Class
CA-2018-120880,2018-05-29,2018-06-03,Standard Class
US-2018-140200,2018-07-26,2018-07-28,First Class
US-2020-110576,2020-11-28,2020-12-02,Standard Class
CA-2020-131156,2020-04-03,2020-04-07,Standard Class
CA-2020-136539,2020-12-28,2021-01-01,Standard Class
CA-2020-119305,2020-11-30,2020-12-04,Standard Class
CA-2020-102414,2020-05-15,2020-05-18,Second Class
CA-2018-112571,2018-09-22,2018-09-22,Same Day
CA-2020-152142,2020-11-14,2020-11-19,Standard Class
CA-2018-160059,2018-11-27,2018-12-01,Standard Class
CA-2019-120859,2019-09-01,2019-09-04,First Class
CA-2017-127488,2017-09-22,2017-09-24,Second Class
CA-2020-135279,2020-04-09,2020-04-11,First Class
CA-2017-115791,2017-01-16,2017-01-18,Second Class
US-2020-103247,2020-10-05,2020-10-08,Second Class
US-2020-100209,2020-07-09,2020-07-15,Standard Class
CA-2020-159366,2020-01-07,2020-01-10,First Class
CA-2019-145499,2019-05-30,2019-05-31,First Class
CA-2018-157035,2018-12-09,2018-12-12,First Class
CA-2019-144939,2019-10-03,2019-10-08,Standard Class
CA-2017-163419,2017-11-11,2017-11-14,Second Class
CA-2020-100314,2020-09-29,2020-10-05,Standard Class
CA-2018-146829,2018-03-10,2018-03-10,Same Day
CA-2020-167899,2020-05-21,2020-05-26,Standard Class
CA-2018-153549,2018-03-29,2018-03-31,Second Class
CA-2019-110023,2019-09-09,2019-09-11,First Class
CA-2019-105585,2019-08-26,2019-08-27,First Class
CA-2017-117639,2017-05-21,2017-05-25,Standard Class
CA-2018-162537,2018-10-28,2018-11-03,Standard Class
CA-2019-155488,2019-11-13,2019-11-17,Standard Class
CA-2018-124891,2018-07-31,2018-07-31,Same Day
CA-2018-126445,2018-08-27,2018-08-31,Standard Class
CA-2018-111199,2018-11-13,2018-11-17,Standard Class
CA-2018-105312,2018-11-06,2018-11-09,First Class
US-2020-106705,2020-12-26,2021-01-01,Standard Class
CA-2020-135034,2020-08-01,2020-08-03,First Class
CA-2017-158540,2017-11-24,2017-11-26,First Class
CA-2020-118437,2020-06-17,2020-06-21,Second Class
US-2018-126214,2018-12-21,2018-12-24,Second Class
CA-2018-133025,2018-09-17,2018-09-19,Second Class
CA-2018-108665,2018-07-06,2018-07-10,Standard Class
CA-2018-124450,2018-04-27,2018-05-03,Standard Class
CA-2018-167269,2018-06-16,2018-06-20,Standard Class
CA-2020-106964,2020-12-17,2020-12-20,First Class
